name,type,website,headquarters,aliases,legal_entities,partners
Eurazeo,vc,https://eurazeo.com,,Eurazeo,Eurazeo GmbH,Matthieu Bonamy;Tim Jungblut;Moritz Arndt;Christian Bogatu;Raphael Cattan
Matterwave,vc,https://matterwave.vc,,Matterwave,Matterwave GmbH,Julian Riebartsch;Aliosha Milsztein;Christian Reitberger;Ines Kolmsee;Elisabeth Schrey
Hatch Blue Ltd,vc,https://hatch.blue,,Hatch Blue Ltd;Hatch,Hatch Blue Ltd GmbH,Georg Baunach;Carsten Krome
Chi Impact Capital,vc,https://chi-impact.com,,Chi Impact Capital,Chi Impact Capital GmbH;Chi Impact Capital LP,Christin ter Braak-Forstinger
Decarbonization Partners,vc,,,Decarbonization Partners;Decarbonization,Decarbonization Partners GmbH;Decarbonization Partners LP,Tyler Christie
Blackhorn Ventures,vc,https://blackhornvc.com,,Blackhorn Ventures;Blackhorn,Blackhorn Ventures GmbH;Blackhorn Ventures LP,Micah Kotch;Jami Leavell;Andrew Brose;Andrew Yu;Jack Fuchs
Headline,vc,https://headline.com,,Headline,Headline GmbH,Luis Hanemann;Christian Miele;Ines Szal;Jacopo Luperi;Anna Fetha
Energias de Portugal,cvc,https://edp.com,,Energias de Portugal;Energias,Energias de Portugal GmbH,Luís Fábrica;Mariana Costa;Daniel Nascimento
Cell Capital,vc,https://cellcap.co,,Cell Capital;Cell,Cell Capital GmbH;Cell Capital LP,Ricardo Beck;Kelvin Au;Greg Michel;Victoria Lebegue
Summa Equity,vc,https://summaequity.com,,Summa Equity;Summa,Summa Equity GmbH,Christoph Waer;Matthias Fink;Christian Fuhrhop;Tim He;Emma Eriksson
Inven Capital,cvc,https://invencapital.cz,,Inven Capital;Inven,Inven Capital GmbH;Inven Capital LP,Kristýna Machová;Němejc Ivo;Sokolová Petra;Mravec Michal;Forstmeyer Martin
Telos Impact,vc,https://telosimpact.com,,Telos Impact;Telos,Telos Impact GmbH,Flavie Gayet;Caroline Philippe;Guillaume Boury
Maki.vc,vc,https://maki.vc,,Maki.vc,Maki.vc GmbH,Petra Koivuvaara;Caroline Gattner;Mona Saurén;Pauliina Martikainen
Kima Ventures,vc,https://kimaventures.com,,Kima Ventures;Kima,Kima Ventures GmbH;Kima Ventures LP,Camille Gabbi;Jean De La Rochebrochard;Xavier Niel;Jeanne Cluset;Alexis Robert
Alliance For Impact,vc,https://allianceforimpact.com,,Alliance For Impact;Alliance,Alliance For Impact GmbH,Charles Fourault;Damien Roch
Starquest Capital,vc,https://starquest-capital.com,,Starquest Capital;Starquest,Starquest Capital GmbH;Starquest Capital LP,Quentin Simon;Arnaud Delattre;Chloé Cohen-Aknine
Alter Equity 3P,vc,https://alter-equity.com,,Alter Equity 3P;Alter,Alter Equity 3P GmbH,Felix Mounier;Lucas Clément;Octave Kleynjans
Tet Ventures,vc,https://tet.vc,,Tet Ventures,Tet Ventures GmbH;Tet Ventures LP,Neeraj Berry
First Momentum Ventures,vc,https://firstmomentum.vc,,First Momentum Ventures;First,First Momentum Ventures GmbH;First Momentum Ventures LP,Sebastian Böhmer;Andreas Fischer;Sebastian Schmitt;Christian Neumann;Lena Späth
BlueYard Capital,vc,https://blueyard.com,,BlueYard Capital;BlueYard,BlueYard Capital GmbH;BlueYard Capital LP,Juan Pinilla;Danielle Bennett;Angelina Gaede;Ciaran OLeary;Pia Michel
Good Seed Ventures,vc,https://goodseedventures.com,,Good Seed Ventures;Good,Good Seed Ventures GmbH;Good Seed Ventures LP,Jaime Betech;Frank Cordesmeyer
42CAP,vc,https://42cap.com,,42CAP,42CAP GmbH,Alexander Meyer;Vincent Pistor
Munich Re Group,cvc,https://munichre.com,,Munich Re Group;Munich,Munich Re Group GmbH,Sebastian Scholz;Thomas Blunck;Bomhard Dr. Nikolaus von - Munich-MR - external;Prentiss - MunichRe-Green Tech;Darden
eCAPITAL ENTREPRENEURIAL PARTNERS,vc,https://ecapital.vc,,eCAPITAL ENTREPRENEURIAL PARTNERS;eCAPITAL,eCAPITAL ENTREPRENEURIAL PARTNERS GmbH,Katharina Frie;Steffen Reinecke;Bernd Arkenau;Stephen Weich;Lucas Merle
Foundamental,vc,https://foundamental.com,,Foundamental,Foundamental GmbH,Patric Hellermann;Moritz Henschel;Jeremy Brown;Marie-Sophie Ando;Sebastien Michaud
BASF,cvc,https://basf.com,,BASF,BASF GmbH,Björn Heinz;Martin Brudermüller;Bernhard Mohr;Saori Dubourg;Juergen Hambrecht
SoftBank Vision Fund,vc,https://visionfund.com,,SoftBank Vision Fund;SoftBank,SoftBank Vision Fund GmbH,
Contrarian Ventures,vc,https://cventures.vc,,Contrarian Ventures;Contrarian,Contrarian Ventures GmbH;Contrarian Ventures LP,Paulius Nasvytis;Rokas Peciulaitis;Tomas Kemtys;Patrikas Feiferas;Robina von Stein
Blume Equity,vc,https://blumeequity.com,,Blume Equity;Blume,Blume Equity GmbH,Daniel Ruben;Andrei Xydas;Michelle Capiod;Clare Murray
4impact,vc,https://4impact.vc,,4impact,4impact GmbH,Pauline Wink-Zaanen;Kate Mullord;Sven Meyer;Yasmin Venema;Victor Straatman
Temasek,government,https://temasek.com.sg,,Temasek,Temasek GmbH,Mattia Briganti;Nicolas Meier;Ming You See;Geraldine Goh;Franziska Timmermann
Cemex Ventures,cvc,https://cemexventures.com,,Cemex Ventures;Cemex,Cemex Ventures GmbH;Cemex Ventures LP,Mateo Zimmermann
Redalpine,vc,https://redalpine.com,,Redalpine,Redalpine GmbH,Antonius Salis;Mira Kamp;Oliver Pabst;Nadine Geiser;Julius Westphal
Trellis Road,vc,https://trellisroad.com,,Trellis Road;Trellis,Trellis Road GmbH,Manuella Brito
Emerald Technology Ventures,vc,https://emerald-ventures.com,,Emerald Technology Ventures;Emerald,Emerald Technology Ventures GmbH;Emerald Technology Ventures LP,Philipp Hasler;Annina Winkler;Alex Mercandetti;Fredric Petit
Generation Investment Management,vc,https://generationim.com,,Generation Investment Management;Generation,Generation Investment Management GmbH,Elisabeth Kuester;Lisa Anderson;Neha Madhotra;Niki Rosinski;Lila Preston
Giant Ventures,vc,https://giant.vc,,Giant Ventures;Giant,Giant Ventures GmbH;Giant Ventures LP,Madelene Larsson;Cameron Mclain;Georgia Ritter;Tommy Stadlen;Jon Dishotsky
Concrete Venture Capital,vc,https://concretevc.com,,Concrete Venture Capital;Concrete,Concrete Venture Capital GmbH;Concrete Venture Capital LP,
CPT Capital,vc,https://cptcap.com,,CPT Capital,CPT Capital GmbH;CPT Capital LP,Harry Kalms
Eka Ventures,vc,https://ekavc.com,,Eka Ventures,Eka Ventures GmbH;Eka Ventures LP,Jon Coker;Camilla Dolan;Alicia Walker;Hamish Law;Estia Ryan
Agronomics,vc,https://agronomics.im,,Agronomics,Agronomics GmbH,James Bennett
ATLANTIC PROPERTY VENTURES,vc,https://apventures.com,,ATLANTIC PROPERTY VENTURES;ATLANTIC,ATLANTIC PROPERTY VENTURES GmbH,Michelle Robson;Risei Goto;James Diaz-Sokoloff;Charlie Clark;Kosuke Kobayashi
Clean Growth Fund,vc,https://cleangrowthfund.com,,Clean Growth Fund;Clean,Clean Growth Fund GmbH,Stephen Price;Beverley Gower-Jones;Samuel Hill;Gemma Fong;Connor Duffy
WAVE Equity Partners,vc,https://waveep.com,,WAVE Equity Partners;WAVE,WAVE Equity Partners GmbH;WAVE Equity Partners LP,Praveen Sahay
Chevron,cvc,https://chevron.com,,Chevron,Chevron GmbH,
Union Square Ventures,vc,https://usv.com,,Union Square Ventures;Union,Union Square Ventures GmbH;Union Square Ventures LP,Albert Wenger;Mona Alsubaei;Hanel Baveja;Lauren Young
Alantra,vc,https://alantra.com,,Alantra,Alantra GmbH,Lucille Bonnet;Manuel Alamillo;Maria Muro-Lara;María Sansigre;Bastien Gambini
ECBF,vc,https://ecbf.vc,,ECBF,ECBF GmbH,Michael Brandkamp;Eugen Kaprov;Michael Nettersheim;Cornelia Mann;Dirk Sassmannshausen
EQT Ventures,vc,https://eqtventures.com,,EQT Ventures,EQT Ventures GmbH;EQT Ventures LP,Konstantin Zedelius;Doreen Huber;Sandra Malmberg;Natalie Jogedal;Dominik Stein
Ocean 14 Capital,vc,https://ocean14capital.com,,Ocean 14 Capital;Ocean,Ocean 14 Capital GmbH;Ocean 14 Capital LP,Hugo Le Breton;George Duffield;Chris Barnes;Hannah Martin;George Duffield
Atlantic Food Labs,vc,https://foodlabs.com,,Atlantic Food Labs;Atlantic,Atlantic Food Labs GmbH,Mario Lebherz;Christophe Maire;Patrick Huber;Till Hoelzer;Robert Gerlach
Cherry Ventures,vc,https://cherry.vc,,Cherry Ventures;Cherry,Cherry Ventures GmbH;Cherry Ventures LP,Thomas Lueke;Alexander Schmidt;Paula Weber;Sophia Bendz;Filip Dames
Nucleus Capital,vc,https://nucleus-capital.com,,Nucleus Capital;Nucleus,Nucleus Capital GmbH;Nucleus Capital LP,Maximilian Bade;Isabella Fandrych;Sarah Wörner
Greengenerationfund,vc,https://greengenerationfund.com,,Greengenerationfund,Greengenerationfund GmbH,Janna Ensthaler;Christoph Drayß;Dr. Sarah Manon Littek;Peter Dorfner;Lucca Kühnel
Mustard Seed MAZE,vc,https://mustardseedmaze.vc,,Mustard Seed MAZE;Mustard,Mustard Seed MAZE GmbH,Alex Pitt;Henry Wigan;Antonio Miguel;Manuel Antunes;Tessa Cook
Übermorgen Ventures,vc,https://uebermorgen.vc,,Übermorgen Ventures;Übermorgen,Übermorgen Ventures GmbH;Übermorgen Ventures LP,Myke Naef;Alexander Langguth;Jonas Hornung;Adrian Bührer;Elena Walder
Vsquared Ventures,vc,https://vsquared.vc,,Vsquared Ventures;Vsquared,Vsquared Ventures GmbH;Vsquared Ventures LP,Herbert Mangesius;Thomas Oehl;Benedikt von Schoeler;Patrick Tucci;Michael Jobst
Zero Carbon Capital,vc,https://zerocarbon.capital,,Zero Carbon Capital;Zero,Zero Carbon Capital GmbH;Zero Carbon Capital LP,Pippa Gawley;Caterina Lurani;Alex Gawley;Sarah Jones;Chloe Coates
Counteract,vc,https://counteract.net,,Counteract,Counteract GmbH,Caitlin Wale;Andrew Shebbeare;Andy Bonsall;Poppy Russell;Poppy Russell
